q4.sql,0,2.950453193
q4.sql,1,2.137266416
q4.sql,8,1.412544459
q4.sql,16,1.309506731
q4.sql,24,0.861782085
q4.sql,32,1.167308381
q4.sql,40,0.796471343
q4.sql,48,0.721992418
q4.sql,56,1.024771633
q4.sql,64,1.002444354
q4.sql,72,1.044135518
q4.sql,80,1.012695534
q4.sql,88,1.010126922
q4.sql,96,1.002906253
q4.sql,104,1.010865374
q4.sql,112,1.009614525
q4.sql,120,1.011602841
q4.sql,128,0.995854544
q4.sql,136,0.983051251
q4.sql,144,0.986533169
q4.sql,152,0.980566003
q4.sql,160,0.971136692
q4.sql,168,1.014216731
q4.sql,176,0.986679087
q4.sql,184,0.981965654
q4.sql,192,0.99284868
q4_tweaked.sql,0,2.54421216
q4_tweaked.sql,1,2.011667027
q4_tweaked.sql,8,0.563141349
q4_tweaked.sql,16,0.481548096
q4_tweaked.sql,24,0.357198223
q4_tweaked.sql,32,0.294229105
q4_tweaked.sql,40,0.231456189
q4_tweaked.sql,48,0.159023913
q4_tweaked.sql,56,0.217219326
q4_tweaked.sql,64,0.151364979
q4_tweaked.sql,72,0.1505407
q4_tweaked.sql,80,0.145399907
q4_tweaked.sql,88,0.131744744
q4_tweaked.sql,96,0.133277521
q4_tweaked.sql,104,0.113469749
q4_tweaked.sql,112,0.108340835
q4_tweaked.sql,120,0.110591224
q4_tweaked.sql,128,0.114787258
q4_tweaked.sql,136,0.107799891
q4_tweaked.sql,144,0.107909491
q4_tweaked.sql,152,0.119487919
q4_tweaked.sql,160,0.118058102
q4_tweaked.sql,168,0.095830519
q4_tweaked.sql,176,0.115079015
q4_tweaked.sql,184,0.116147232
q4_tweaked.sql,192,0.107224461
q4.sql,2,1.724051512
q4.sql,3,1.685163811
q4.sql,4,1.353715106
q4.sql,6,1.749316744
q4_tweaked.sql,2,1.870603678
q4_tweaked.sql,3,1.446250905
q4_tweaked.sql,4,1.240410315
q4_tweaked.sql,6,0.922600332
q4.sql,12,1.043897349
q4.sql,20,0.925905
q4_tweaked.sql,12,0.562861681
q4_tweaked.sql,20,0.437088964
